티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1276035226.0,1276035226.0,0.0
KRD010010001,원화현금,52159586.0,52159586.0,0.0
SNDK US Equity,Sandisk Corp/DE,89.69,101465282.0,0.08290489546797418
MU US Equity,MICRON TECH,140.53,97395262.0,0.07957937785247528
005930,삼성전자,321.0,64360500.0,0.052587450796879986
CRCL US Equity,Circle Internet Group Inc,311.85,62180657.0,0.050806352351289545
BE US Equity,BLOOM ENERGY CORPORATION,236.46,55574385.0,0.04540852287900754
NVDA US Equity,NVIDIA Corp,172.83,46798976.0,0.038238342581930956
LITE US Equity,Lumentum Holdings Inc,39.89,41960921.0,0.034285281632045556
CIEN US Equity,Ciena Corp,68.33,39513548.0,0.032285590715736445
277810,레인보우로보틱스,53.0,38054000.0,0.031093028373372966
LRCX US Equity,LAM RESEARCH,94.51,31877250.0,0.0260461512249725
GOOG US Equity,ALPHABET INC-CL C,64.93,29851976.0,0.024391347473833206
COIN US Equity,COINBASE GLOBAL INC -CLASS A,97.64,29647144.0,0.024223984064263262
WDC US Equity,WESTERN DIGITAL,61.8,28283072.0,0.023109432915912928
AMD US Equity,ADVANCED MICRO DEVICES,92.16,27591732.0,0.022544555262166997
PLTR US Equity,Palantir Technologies Inc -A,119.14,27319727.0,0.022322306374199914
AKAM US Equity,Akamai Technologies Inc,163.13,26655256.0,0.021779382748397542
COHR US Equity,COHERENT CORP,68.96,26623539.0,0.021753467533678503
TSLA US Equity,TESLA MOTORS,41.88,24690889.0,0.020174344674431136
6857 JP Equity,ADVANTEST CORP,101.66,24009219.0,0.019617368150247682
MSTR US Equity,Strategy Inc,110.0,23207861.0,0.01896259737631513
TER US Equity,TERADYNE INC,44.02,19826831.0,0.016200037284833938
RKLB US Equity,Rocket Lab USA Inc,188.21,19628323.0,0.01603784106692409
GLW US Equity,CORNING INC,94.41,18402383.0,0.015036154326921647
KLAC US Equity,KLA Corp,8.21,18267433.0,0.014925889855933402
ASML US Equity,ASML HOLDING,8.79,17879828.0,0.01460918692686783
HOOD US Equity,Robinhood Markets Inc,147.08,16535454.0,0.013510730551022325
VRT US Equity,Vertiv Holdings Co,40.43,16064040.0,0.013125549259236828
AVGO US Equity,BROADCOM LTD,33.17,15729576.0,0.01285226659139976
NBIS US Equity,YANDEX NV-A,86.46,15386297.0,0.01257178139439069
FSLY US Equity,Fastly Inc,380.13,15337059.0,0.012531550182663984
285A JP Equity,Kioxia Holdings Corp,68.0,14947706.0,0.012213419003911215
0093D0,KoAct 팔란티어밸류체인액티브,988.0,14706380.0,0.012016237205276836
AXTI US Equity,AXT Inc,200.74,14691911.0,0.012004414925686404
RIOT US Equity,Riot Platforms Inc,681.54,14424180.0,0.01178565822259523
FIX US Equity,Comfort Systems USA Inc,6.15,13135926.0,0.010733056178812416
TSEM US Equity,Tower Semiconductor Ltd,61.13,13025700.0,0.010642993106717935
IREN US Equity,IREN Ltd,197.35,12503545.0,0.010216352537256154
KEYS US Equity,KEYSIGHT TECH,28.53,12167021.0,0.0099413866918701
POET US Equity,POET Technologies Inc,1208.4,11209335.0,0.009158883985957919
CCJ US Equity,CAMECO CORP,67.49,11082492.0,0.00905524355399377
INTC US Equity,INTEL Corp,157.38,10637318.0,0.008691502349045855
AAOI US Equity,Applied Optoelectronics Inc,69.56,9671457.0,0.007902320042908934
VICR US Equity,Vicor Corp,31.88,9179904.0,0.007500683647890892
GEV US Equity,GE Vernova LLC,7.04,9071486.0,0.007412097850072414
MRVL US Equity,MARVELL TECHNOLOGY INC,67.19,8836668.0,0.007220233585170467
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,15.61,7956332.0,0.006500931744993306
ASTS US Equity,AST SpaceMobile Inc,50.58,6889033.0,0.005628866834868941
LEU US Equity,Centrus Energy Corp,16.9,5287983.0,0.0043206865364196646
6954 JP Equity,FANUC,75.1,4332843.0,0.0035402641072257964
